contradiction,type,t,h
YES,negation,Tariq Aziz was not considered a member of Saddam's innermost circle.,Tariq Aziz was in Saddam's inner circle.
YES,lexical,Tariq Aziz kept outside the closed circle of Saddam's Sunni Moslem cronies.,Tariq Aziz was in Saddam's inner circle.
YES,negation,Tariq Aziz was not one of the most powerful figures in Saddam's regime.,Tariq Aziz was prominent in the regime.
YES,lexical,Tariq Aziz retained influence.,Aziz had virtually no power.
YES,numeric,Alexandros Yiotopoulos is 58.,Alexandros Yiotopoulos is 59 years old.
YES,numeric,213 people were killed.,219 people were killed.
YES,WK,Al-zarqawi was Palestinian.,Al-zarqawi was Jordanian.
YES,antonym,Al-zarqawi was right-handed.,Al-zarqawi was left-handed.
YES,negation,"No one has been arrested in the case.""",Collin Finnerty was arrested on charges of sexual offense.
YES,negation,No one has been arrested in the case.,Two sophomore Duke lacrosse players were arrested.
YES,antonym,Zarqawi did in fact survive the airstrike.,Abu Musab al-Zarqawi was killed in an airstrike.
YES,lexical,Zarqawi did in fact survive the airstrike.,An airstrike ended al-Zarqawi's life.
YES,WK,"Abu Musab al-Zarqawi, was a Jordanian terrorist leader.",al-Zarqawi was Palestinian.
YES,antonym,Abu Musab Al-Zarqawi was killed in a U.S. air strike.,Zarqawi did in fact survive the airstrike.
YES,negation,"The African Union's mandate in Darfur is to monitor the cease-fire, not enforce it.",The African Union will have to enforce the peace agreement.
YES,WK,The National Security Agency carries out electronic surveillance of American citizens.,The eavesdropping network of the agency [NSA] was directed at foreigners.
YES,negation,The National Security Agency carries out electronic surveillance of American citizens.,The eavesdropping network of the agency [NSA] was not directed at U.S. citizens.
YES,numeric,Buffett is giving the Gates foundation about 85 percent of his fortune.,The Gates foundation will be responsible for distributing about $31 billion of Buffett's estimated $44 billion estate.
YES,negation,Sudan will grant permission for United Nations peacekeeping forces to take up station in Darfur.,Sudan is as adamant as ever that it will never accept U.N. peacekeepers.
YES,factive,Sudan refused to allow U.N. troops in Darfur.,Sudan will grant permission for United Nations peacekeeping forces to take up station in Darfur.
YES,lexical,Sudan refused to allow U.N. troops in Darfur.,The matter [allowing U.N. troops in Darfur] was open for discussion.
YES,antonym,Sudan refused to allow U.N. troops in Darfur.,"The Sudanese government supports a U.N. peacekeeping force to replace the overwhelmed African Union force of 7,000."
YES,factive,Sudan refused to allow U.N. troops in Darfur.,Sudan was ready to accept U.N. troops.
YES,factive,Sudan refused to allow U.N. troops in Darfur.,It [Sudanese government] will accept it [U.N. forces].
YES,factive,The Sudanese government has refused to allow U.N. peacekeepers to replace the overmatched African Union force now in place.,"The Sudanese government supports a U.N. peacekeeping force to replace the overwhelmed African Union force of 7,000."
YES,negation,Sudan is as adamant as ever that it will never accept U.N. peacekeepers .,"It [Sudanese government] supports a U.N. peacekeeping force to replace the overwhelmed African Union force of 7,000."
YES,negation,Sudan is as adamant as ever that it will never accept U.N. peacekeepers.,It [Sudanese government] will accept it [U.N. forces].
YES,negation,Sudan was ready to accept U.N. troops.,Sudan is as adamant as ever that it will never accept U.N. peacekeepers.
YES,negation,Sudan was ready to accept U.N. troops.,The Khartoum government had not yet granted that [U.N. assessment team into Darfur] permission.
YES,negation,No direct link has been established between the two kidnappings [by Hezbollah and Hamas of Israeli soldiers],Some form of coordination [between the two kidnappings by Hezbollah and Hamas of Israeli soldiers] can't be ruled out.
YES,WK,Evo Morales is the top presidential candidate in Bolivia.,Evo Morales is Bolivian President.
YES,lexical,Evo Morales is a former congressman.,Evo Morales is a congressman.
YES,WK,Evo Morales is the new Bolivian President.,Evo Morales is a congressman.
YES,numeric,Prime Minister Ariel Sharon underwent five hours of surgery.,Sharon underwent nine hours of surgery.
YES,numeric,Sharon underwent nine hours of surgery.,Israeli Prime Minister Ariel Sharon underwent seven hours of emergency surgery.
YES,numeric,FEMA would cut off financing for most rooms by Dec. 1.,FEMA set the Dec. 15 and Jan. 7 deadlines for cutting off financing for most rooms.
YES,lexical,Hezbollah fired a rocket that killed eight workers.,Hezbollah killed eight Israeli soldiers.
YES,factive,TamilNet reported that a second navy vessel had been sunk.,The Sri Lankan military denies that a second navy vessel had been sunk.
YES,numeric,Eighth were detonated.,The first of the seven blasts struck.
YES,numeric,Eighth were detonated.,The seven train bombs detonated.
YES,numeric,The train bombings killed more than 180 people.,The bombings killed 63 people.
YES,numeric,The death toll stood at 48.,The death toll was at least 55.
YES,numeric,Seven carefully coordinated blasts ripped through suburban trains.,Eighth were detonated.
YES,antonym,"A report by Mohammed ElBaradei said that the destruction of the site [Lavisan] raised ""the possibility of a concealment effort"" by Iran to hide uranium enrichment activities.","In his report Mohamed ElBaradei director general of the International Atomic Energy Agency, praised Iran's ""transparency and indispensable"" cooperation."
YES,lexical,"It causes concern that Iran is opting out of its moratorium in the absence of answers to questions, serious questions, from the IAEA [International Atomic Energy Agency].","In his report Mohamed ElBaradei director general of the International Atomic Energy Agency, praised Iran's ""transparency and indispensable"" cooperation."
YES,lexical,"It causes concern that Iran is opting out of its moratorium in the absence of answers to questions, serious questions, from the IAEA [International Atomic Energy Agency].","""We're pleased, we [International Atomic Energy Agency] got access, it was not restricted. We were allowed to see all the buildings and to take environmental samples."""
YES,antonym,Reade Seligmann was arrested.,Seligmann was released.
YES,structure,The charge of breach of trust reflected what they said were efforts by Chung Mong-koo tried to enrich himself.,The charge of breach of trust reflected what they said were efforts by Chung to enrich his son.
YES,negation,No one has been arrested in the case.,Collin Finnerty was arrested on charges of kidnapping.
YES,negation,No one has been arrested in the case.,Collin Finnerty was arrested on charges of rape.
YES,negation,No one has been arrested in the case.,"Reade Seligmann, 20 was also arrested."
YES,negation,The Ministers have to be members of Parliament.,The Prime Minister is no longer required to be a member of the parliament.
YES,lexical,"Karnak is the brother of Triton, who endured Terrigenesis before he did.",Karnak is usually attended by his cousins Gorgon and Triton.
YES,lexical,"In a memo dated 25 July 1950, U.S. Air Force Colonel Turner C. Rogers stated that, ""The Army has requested that we strafe all civilian refugee parties that are noted approaching our positions. To date, we have complied with the Army request in this respect.""","President Bill Clinton expressed U.S. regret over Korean civilian deaths, the U.S. and South Korea issued a joint ""statement of mutual understanding"" which stated that there were no orders to fire on civilians."
YES,numeric,"Qeshm Island surface is mostly rocky and barren with a small human population of approximately 8,000.","The population of Qeshm Island is about 200,000."
YES,numeric,The flag is first thought to have been used in 1893 by Conradh na Gaeilge.,"In 1858, the Irish Republican Brotherhood adopted the flag as their symbol."
YES,numeric,"The Kuwait Times reported that Hezbollah has buried over 700 fighters with more to follow, August 30.","The Australian reports that Israel has the names of over 430 Hezbollah fighters it killed and estimates total Hezbollah dead at over 800, August 29."
YES,numeric,"He was in brief demand as a motivational speaker after his flight and quit his job as a truck driver, but never was able to make much money from his fame; later on in his life, Walters hiked the San Gabriel Mountains and did volunteer work for the United States Forest Service before committing suicide by shooting himself in the heart in Angeles National Forest on October 6, 1988.","He was in brief demand as a motivational speaker after his flight and quit his job as a truck driver, but never was able to make much money from his fame; later on in his life, Walters hiked the San Gabriel Mountains and did volunteer work for the United States Forest Service before committing suicide by shooting himself in the heart in Angeles National Forest on October 6, 1993."
YES,numeric,"After spending about twelve hours in the sky, though, he came to the conclusion that he would have to shoot a few balloons after all; doing so caused him to descend slowly again, until the balloon's dangling cables got caught in a power line, causing a black out in a Long Beach neighbourhood for 20 minutes, but also allowing Walters to climb down to the ground again.","After spending about 45 minutes in the sky, though, he came to the conclusion that he would have to shoot a few balloons after all; doing so caused him to descend slowly again, until the balloon's dangling cables got caught in a power line, causing a black out in a Long Beach neighbourhood for 20 minutes, but also allowing Walters to climb down to the ground again."
YES,numeric,"It was brought to ancient Caledonia, on the island known as Alba, by Scotti from what is now Ulster around AD 500.","It was brought to ancient Caledonia, on the island known as Alba, by Scotti from what is now Ulster by around the 4th century."
YES,numeric,"Wilhelm Maximilian Wundt (August 17, 1832 - August 31, 1920) was a German physiologist and psychologist.","Wundt was born August 16, 1832 at Neckarau, in Baden."
YES,negation,"""We found the weapons of mass destruction. We found biological laboratories,"" Mr. Bush told Polish television. ""For those who say we haven't found the banned manufacturing devices or banned weapons, they're wrong, we found them.""","On Sept. 9, 2004, in Pennsylvania, Mr. Bush said: ""I recognize we didn't find the stockpiles [of weapons] we all thought were there."""
YES,lexical,"During the 2000 campaign, George W. Bush argued against nation building and foreign military entanglements. In the second presidential debate, he said: ""I'm not so sure the role of the United States is to go around the world and say, 'This is the way it's got to be.'""",The United States is currently involved in nation building in Iraq on a scale unseen since the years immediately following World War II.
YES,lexical,"During the 2000 election, Mr. Bush called for U.S. troops to be withdrawn from the NATO peacekeeping mission in the Balkans.","His administration cites such missions as an example of how America must ""stay the course."""
YES,lexical,"During the 2000 presidential election, Mr. Bush championed free trade.","Eyeing campaign concerns that allowed him to win West Virginia,he imposed 30 percent tariffs on foreign steel products from Europe and other nations in March 2002."
YES,lexical,"During the 2000 campaign, Mr. Bush said he was against federal intervention regarding the issue of same-sex marriage. In an interview with CNN's Larry King, he said, states ""can do what they want to do"" on the issue. Vice President Cheney took the same stance.","Four year later, this past February, Mr. Bush announced his support for an amendment to the Constitution that defines marriage as being exclusively between men and women. The amendment would forbid states from doing ""what they want to do"" on same-sex marriage."
YES,negation,"""I don't think you can win it,"" Mr. Bush said of the war on terror in August.","Mr. Bush said: ""We meet today in a time of war for our country, a war we did not start yet one that we will win."" He later added, ""we are winning, and we will win."""
YES,lexical,"Mr. Bush was critical of Al Gore in the 2000 campaign for being part of ""the administration that's been in charge"" while the ""price of gasoline has gone steadily upward."" In December 1999, in the first Republican primary debate, Mr. Bush said President Clinton ""must jawbone OPEC members to lower prices.""","As gas topped a record level of $50 a barrel this week, Mr. Bush has shown no propensity to personally pressure, or ""jawbone,"" Mideast oil producers to increase output. A spokesman for the president reportedly said in March that Mr. Bush will not personally lobby oil cartel leaders to change their minds."
YES,lexical,"In May 2003, at the first Democratic primary debate, John Kerry said his vote authorizing the president to use force was the ""right decision"" though he would have ""preferred if we had given diplomacy a greater opportunity.""","But then in January 2004, Kerry began to run as anti-war candidate, saying, ""I don't believe the president took us to war as he should have."""
YES,lexical,"""I know how disheartened Palestinians are by the decision to build the barrier off the Green Line,"" he told the Arab American Institute National Leadership Conference. ""We don't need another barrier to peace. Provocative and counterproductive measures only harm Israelis.""","But less than a year later, in February 2004, he reversed himself, calling the fence ""a legitimate act of self-defense,"" and saying ""President Bush is rightly discussing with Israel the exact route of the fence to minimize the hardship it causes innocent Palestinians."""
YES,lexical,"Pakistan's Musharraf calls anti-Taliban Northern Alliance forces ""butchers"" and warns against them taking advantage of U.S.-led bombing in Afghanistan.","In Washington, Rumsfeld praises Northern Alliance forces dug in against the Taliban."
YES,numeric,Israel's actions have sparked international protests. The tragedy of Sunday's explosion in Qana that killed more than 50 Lebanese civilians has presented Israel with a dilemma.,"A preliminary Human Rights Watch investigation into the July 30 Israeli air strike in Qana found that 28 people are confirmed dead thus far, among them 16 children, Human Rights Watch said today."
YES,numeric,"The Israelis say that they ""hit dozens of Hezbollah gunmen"" but could not give more details.","Hezbollah said four of its fighters died, in battles in Kfar Kila, Adiasse and Taibe."
YES,numeric,"The Israelis say that they ""hit dozens of Hezbollah gunmen"" but could not give more details.",An Israeli army spokeswoman said troops had killed 20 Hezbollah militants - a claim the group denied.
YES,structure,"In Damascus, President Bashar al-Assad said Israel had been defeated and Hezbollah had ""hoisted the banner of victory"".",Bush at State department: Hezbollah attacked Israel. Hezbollah started the crisis. And Hezbollah suffered a defeat in this crisis.
YES,numeric,"After spending about two hours in the sky, though, he came to the conclusion that he would have to shoot a few balloons after all; doing so caused him to descend slowly again, until the balloon's dangling cables got caught in a power line, causing a black out in a Long Beach neighbourhood for 20 minutes, but also allowing Walters to climb down to the ground again.","After spending about twelve hours in the sky, though, he came to the conclusion that he would have to shoot a few balloons after all; doing so caused him to descend slowly again, until the balloon's dangling cables got caught in a power line, causing a black out in a Long Beach neighbourhood for 20 minutes, but also allowing Walters to climb down to the ground again."
YES,antonym,Bush at State department: Hezbollah attacked Israel. Hezbollah started the crisis. And Hezbollah suffered a defeat in this crisis.,"Last night, Hassan Nasrallah, the Hezbollah leader, said his men had a ""strategic, historic victory"" over ""a confused, cowardly and defeated"" enemy."
YES,antonym,"Last night, Hassan Nasrallah, the Hezbollah leader, said his men had a ""strategic, historic victory"" over ""a confused, cowardly and defeated"" enemy.","Bush Insists Hizbullah Lost, U.N. Makes Urgent Appeal to Europe for Peacekeepers. U.S. President George Bush acknowledged Friday that it could take time for the people of Lebanon and the world to view the war between Israel and Hizbullah as a loss for the group."
YES,antonym,"UN Secretary General Kofi Annan has expressed deep concern over Saturday's Israeli commando raid deep inside Lebanon, calling it a truce violation.","Israel said it was trying to disrupt weapons supplies from Iran and Syria to Hezbollah, and insisted the truce held."
YES,lexical,"UN Secretary General Kofi Annan has expressed deep concern over Saturday's Israeli commando raid deep inside Lebanon, calling it a truce violation.",Israel insisted it had not breached the ceasefire.
YES,negation,"UN Secretary General Kofi Annan has expressed deep concern over Saturday's Israeli commando raid deep inside Lebanon, calling it a truce violation.","""We had specific information of arms transfers taking place and we acted to prevent that violation, so that violation is not from the Israeli side - we were responding to a violation of the resolution by Hezbollah,"" said Israeli spokesman Mark Regev."
YES,WK,"Al-Sharq al-Awsat reports that the Israeli raid into the Biqa' was aimed at kidnapping a prominent Hizbullah leader, or possibly recovering captured Israeli soldiers.",The Israeli army said the raid was aimed at preventing smuggling of arms from Iran and Syria to Hizbullah. It also said one soldier was killed and two others were wounded in the operation.
YES,lexical,"The report, for instance, quotes Director of National Intelligence John Negroponte saying Iran could have a bomb ""sometime between the beginning of the next decade and the middle of the next decade.""","Yet a full transcript of the June 2 BBC interview from which the quote is drawn shows that Negroponte prefaces that with, ""We don't have clear-cut knowledge,"" and adds that the time frame is just an estimate of when Iran ""might be in a position to have a nuclear weapon."""
YES,lexical,"Considering that Osama bin Laden himself is still reputed to be hiding somewhere along the Afghanistan-Pakistan border and Afghan President Hamid Karzai is desperately dependent on the support of drug lords and warlords to prevent renewed civil war, such claims are a blatant fraud. The senior British military commander in Afghanistan recently described the situation in the country as ""close to anarchy"" and said NATO forces were ""running out of time"" to salvage the situation. ""The narcotics industry accounts for over one-third of Afghanistan's gross domestic product and poses a threat to that country's stability and emerging democracy,"" carefully admits a recent U.S. State Department fact sheet.","Yet on Tuesday, the White House was once again trumpeting that ""we have deprived Al Qaeda of safe haven in Afghanistan and helped a democratic government rise in its place."""
YES,lexical,"Intelligence sources in Pakistan tell NBC News that Matiur Rehman replaced Amjad Farooqi as head of Lashkar e Jhangvi, the Sunni extremist group founded by Farooqi.","Intelligence sources in the U.S. and Pakistan tell NBC News that Maitur Rehman is a low-level militant operating in South Waziristan. He is wanted by the Pakistanis in numerous cases of sectarian violence, but contrary to recent media reports he is not the mastermind of the recent, thwarted London-based plot to blow up airplanes headed for the U.S."
YES,antonym,Intelligence sources in the U.S. and Pakistan tell NBC News that Maitur Rehman is a low-level militant operating in South Waziristan.,"Jundullah is a new jihadi terrorist organisation, which started operating in the Karachi area three years ago. Maitur Rehman, a 29-year-old Pakistani, from Multan in Punjab, is reported to be the present Amir of Jundullah."
YES,WK_temporal,"The most recent National Intelligence Estimate found that Iran's progress toward weapons capability was actually slower than previously thought, and Director of National Intelligence John D. Negroponte says that, in his view, Iran is still four to nine years away from having the bomb.","The report, for instance, quotes Director of National Intelligence John Negroponte saying Iran could have a bomb ""sometime between the beginning of the next decade and the middle of the next decade."""
YES,factive,The US and Europe say Iran is pursuing a clandestine nuclear weapons program - a charge Iran has strongly denied.,"""The CIA found no conclusive evidence, as yet, of a secret Iranian nuclear weapons program running parallel to the civilian operations that Iran has declared to the International Atomic Energy Agency,"" Mr Hersh wrote."
YES,factive,U.S. Defense Secretary Donald Rumsfeld has rejected suggestions Iraq is engulfed in a civil war and accused media of exaggerating the severity of the current situation there.,"One of Iraq's most pro-western figures and an ex-prime minister yesterday became the first of its leaders to express what most of his compatriots fear: the country is in the grip of a ""terrible"" civil war."
YES,factive,"A senior American intelligence official said on Monday that the Iranian-backed group Hizbollah had been training members of the Mahdi Army, the Shi'ite militia in Iraq that is headed by Muqtada al-Sadr.",Lebanese militant group Hezbollah has denied allegations by US intelligence officials that it has given training to members of Iraqi militias.
YES,numeric,"The U.S. military said soldiers were conducting a search of a cluster of buildings in the Thar Thar area when they were fired upon. Two insurgents were killed by gunfire and 18 others, including two women, were killed when the ground troops called in an air strike.",Local officials said those killed were civilians -- including eight children.
YES,antonym,The US military says it has killed 20 suspected al-Qaeda militants in a ground and air assault in central Iraq.,Local officials say more than two dozen civilians - including women and children - were killed in the strike.
YES,numeric,Local officials and Iraqi police had said on Friday that they believed 32 civilians had been killed in the attack.,"The US military had issued a statement on Friday saying that two women were among 20 suspected ""al Qaeda terrorists"" killed in the operation."
YES,numeric,The US army initially said four people had died during a raid to find an al-Qaeda supporter in which a building collapsed.,"However, Iraqi police said 11 civilians, including five children and four women, were shot and killed by US troops who then blew up the building."
YES,numeric,The US army initially said four people had died during a raid to find an al-Qaeda supporter in which a building collapsed.,New allegations of a massacre involving US troops in Iraq have emerged after the BBC aired footage of an incident in which 11 Iraqi civilians were killed.
YES,numeric,"Gunfire erupted in a dorm and classroom at Virginia Tech on Monday, killing at least 32 people and wounding at least 20 others, authorities said.","A gunman shot dead up to 31 people and injured at least 21 more in two separate shooting incidents at Virginia Tech in Blacksburg, Va., Monday morning, in what is being called the deadliest campus shooting in U.S. history."
YES,lexical,"The Chinese may have calculated that Nato would not dare strike its embassy, but the five-story building was emptied every night of personnel.","Despite the fact that the embassy building was evacuated of all nonessential personnel during the hours of darkness to avoid any potential casualties, three Chinese were killed and more than 20 injured."
YES,negation,"The American Reform party is not a political party, they do not have ballot access in any state, and they do not run candidates.",The American Reform Party is a minor political party in the United States that was formed in a factional split from the larger Reform Party of the United States in October 1997.
YES,factive,"John Chipman, the head of The International Insitute for Strategic Studies in London, argued on 1/31/2007 that, ""Iran could be only two or three years away from being able to produce a nuclear weapon... Iran had stockpiled 250 tonnes of uranium hexafluoride (UF6), which, when enriched, would be enough for 30 to 50 weapons.""","Iran is unlikely to have a nuclear weapon by 2010 or earlier, and this does not make the threat imminent."
YES,numeric,Yueng initially testified that she discovered she was pregnant in October 1999.,Yueng said that family-planning officials tipped off about her pregnancy came looking for her in February 1999.
YES,WK,"At a hearing, Neuens and Kevin Scanlan, the hospital's human resources director, initially testified that Hughes lacked adequate knowledge or experience for the quality control officer job.","Neuens and Kevin Scanlan also admitted, however, that Hughes had been working with the chemicals in question since 1980 and that he had been primarily responsible for training employees in the safe use of these chemicals."
YES,numeric,"Claimant's application alleged an accident in September 1990. He initially testified to a specific accident in which he hit a pothole causing him to ""bottom out"" in his seat. The history provided to his treating doctor alleged a specific incident in February or March 1991.","In 1992, claimant testified that his pain began getting worse four to five months after treatment in September of 1990. The records of his treating doctor indicated pain with no known trauma."
YES,WK,A common situation is a witness who testifies the light was green at trial.,During a prior deposition the witness insisted the light was red.
YES,antonym,"Since Dolan was paid for nine consecutive weeks, the referee for the Appeals Tribunal found payment to Dolan for his waiting week was appropriate.","The division argued on appeal that since the referee found Dolan had been overpaid for those two weeks, which would have been weeks eight and nine of his nine consecutive weeks of benefits, Dolan was technically only paid for seven consecutive weeks of benefits, making payment for the waiting week improper."
YES,lexical,At one point Zain had said the blood was the defendant's.,"At another point, Zain had identified the blood as the victim's."
YES,lexical,"In a June 10 deposition, Youssef claimed there is no record documenting increased damaged to the cathedral since the latest report in September 1995, O'Brien said.","But on a June 7 videotape submitted to the court, the judge said Youssef identified new cracks that developed after the May 23 quake."
YES,structure,"Gregg Miner, the company's general manager, originally stated that it was the management team that selected the supervisor for the RIF.",Gregg Miner acknowledged that he probably had been the one to select Whittington for the RIF.
YES,WK_temporal,"Dr. Long-Gue Hu, JCMC's chief obstetric/gynecological resident, reviewed the August 13 sonogram but did not detect spina bifida. Hu testified the August 13 sonogram was probably taken at FHC, and he most probably reviewed it on that date.","Dr. Long-Gue Hu determined the August 13 sonogram was taken at JCMC, and he probably did not review it until the end of August."
YES,negation,The defendant argued that Likens was not qualified to give either an expert opinion under Ind.Evid.Rule 702 or a lay opinion under Ind.Evid.Rule 701.,"The court disagreed and found that while Likens was not sufficiently qualified as an expert under Rule 702, he was qualified as a skilled witness under Rule 701."
YES,WK,Official ticket sales for the Cure's tour haven't been released yet.,The Cure's management says venues have been selling close to capacity.
YES,WK,"Her lawyer, Richard Herman, had previously insisted Knight was a ""normal young woman"" with no mental problems and said she had written a letter of apology to Zeta-Jones and Douglas.","But after the two Hollywood stars delivered chilling testimony at a preliminary hearing in July, Mr Herman told reporters that ""what's actually happened is that Catherine Zeta-Jones has driven Dawnette to attempt suicide and the real blood is on her hands""."
YES,WK,"The hearing was also halted on Thursday, when the defense attorney said his client was still groggy after taking sleeping pills because she wanted a good night's sleep.",But on Friday he said it was an attempted suicide by an overdose of barbiturates.
YES,negation,"The transition to the younger Mr Lee ""will not offer much comfort to those seeking more openness,"" he said, ""his speeches very much resemble his father's.""","But Steve Chia, one of Singapore's few non-PAP politicians and a vocal government critic, said he expected Mr Lee's leadership to be ""more open and consultative"", particularly on social issues."
YES,WK_location,"When his friends cut the cord that had tied his lawnchair to his jeep, Walters' lawnchair quickly rose to a height of about 16,000 feet (4,876 m); fearing that he might get himself into even deeper trouble, he did not dare shoot any balloons, instead drifting over Los Angeles and crossing the primary approach corridor of Los Angeles International Airport.","When his friends cut the cord that had tied his lawnchair to his jeep, Walters' lawnchair quickly rose to a height of about 16,000 feet (4,876 m); fearing that he might get himself into even deeper trouble, he did not dare shoot any balloons, instead drifting over Long Beach and crossing the primary approach corridor of Long Beach airport."
YES,WK,"He went on to buy 45 4-foot-diameter weather balloons in an army-navy surplus store, attaching them to his lawnchair and then filling them with helium after donning a parachute and strapping himself to the chair with a pellet gun, a CB radio, some sandwiches, soft drinks, and a camera; however, things did not work out as he had planned.",He and his girlfriend purchased 45 four-foot weather balloons and helium tanks at a store called California Toy Time Balloons.
YES,numeric,"On 20 January 1986, a military coup led by Major General Justin Metsing Lekhanya deposed the Jonathan government.","On 15 January 1986, a military coup led by Major General Justin Metsing Lekhanya deposed the Jonathan government."
YES,numeric,"There are five tenses in Low German: Present tense, Preterite, Perfect, Past Perfect, and Future.","There are four tenses in Low German: Present tense, Preterite, Perfect, and Pluperfect."
YES,numeric,"Historians estimate that about 20% of the white population may have been Loyalists (that is, about 500,000), but there are no exact numbers.","Historians estimate that about 5% of the white population may have been Loyalists (that is, about 100,000), but there are no exact numbers."
YES,numeric,"However once independence was declared in 1776 Loyalists who continued to support the Crown were treated by the Patriots as traitors who turned against their fellow citizens and collaborated with a foreign army. They were expelled, or disarmed, but none were tried for treason or executed.",However relatively few Loyalist civilians are thought to have been killed by mobs; two men in Philadelphia were officially executed for supporting the British.
YES,WK_temporal,"Alain Choquet (born October 18, 1901 - dead October 29, 1991 at Saint-Laurent is a Quebec actor and recording artist.","In 2002, with Pierre René, Choquet formed Disques La Julienne."
YES,negation,The American Reform Party is a minor political party in the United States that was formed in a factional split from the larger Reform Party of the United States in October 1997.,"The American Reform Party is not a political party, they do not have ballot access in any state, and they do not run candidates."
YES,WK,"On 23 December 1990, less than two weeks before Tammy's 16th birthday, Karla Homolka and her fiancé, Paul Bernardo, plied Tammy with Halcion, a sedative, and raped her.","Karla Homolka eventually conceded and obtained a bottle of Halothane (a liquid general anesthetic) from the veterinary clinic where she worked, that would later be used to sedate Tammy during the rape."
YES,lexical,"Originally Tarantino's screenplay began with the same ""I'd fuck Elvis"" scene, set before the opening credits, as the release.",The first scene in Tarantino's script is the scene where Drexl steals the cocaine.
YES,lexical,"In the book, Suskind writes, among other things, that sources in the intelligence community revealed to him that Abu Zubaydah knew nothing about the operations of al-Qaeda, but rather was al-Qaeda's go-to guy for minor logistics such as travel for wives and children.","Abu Zubaydah was, according to American authorities, a high-ranking member of al-Qaeda and close associate of Osama bin Laden, though there are doubts of his power and connections due to the fact that most information came from interrogations where Zubaydah was known to vastly exaggerate his and al-Quaeda's role in international terror."
YES,numeric,"The first BBS, ALOHA.net, was created at the University of Hawaii in 1972.","Snowed in during The Great Chicago Snowstorm of 1978, Ward Christensen began preliminary work on what would eventually become the first BBS to exist. The first BBS, CBBS, went online on February 16, 1978 in Chicago, Illinois."
YES,numeric,Minesweeper is a single-player computer game invented by Robert Donner in 1989.,"There was a version on a Tektronix 4051 around 1981, but the tradition of passing around a 'games tape' goes back to at least 1973. This tape even contains a 3D version of minesweeper. The author of this game, David Ahl is a crucial figure in the early history of computer games."
YES,numeric,It has been criticized as pseudoscientific quackery by most professional scientists and members of the medical community.,It has been criticized as pseudoscientific quackery by some professional scientists and members of the medical community.
YES,numeric,"He became a Field Marshal in the British Army in 1940, and served in the Imperial War Cabinet under Winston Churchill.","He became a Field Marshal in the British Army in 1941, and served in the Imperial War Cabinet under Winston Churchill."
YES,structure,"Currently, I-75 is 15 lanes wide at the Windy Hill Interchange (8 northbound, 7 southbound), and as such, is the widest freeway in the world.","Bisecting the city from west to east across its inner suburbs, Highway 401 (or simply, ""the 401"") acts as a bypass of the downtown core, and is both the busiest and widest highway in the world."
YES,numeric,"In Turkey, there are around 820 higher education institutes including universities, with a total student enrollment of over 1 million.","The total capacity of Turkish universities is approximately 300,000."
YES,lexical,"Turkey seeks to improve its investment climate through administrative streamlining, an end to foreign investment screening, and strengthened intellectual property legislation.","A number of disputes involving foreign investors in Turkey and certain policies, such as high taxation of cola products and continuing gaps in the intellectual property regime, inhibit investment."
